iter	Logloss
0	0.6426858842
1	0.596977537
2	0.5633523567
3	0.5320864329
4	0.4984645142
5	0.4698671136
6	0.4475710552
7	0.4218352406
8	0.3997221699
9	0.3812876807
10	0.3646520758
11	0.3483680585
12	0.3337461675
13	0.3191951192
14	0.3073498192
15	0.2955961509
16	0.2863183689
17	0.2769263607
18	0.267684672
19	0.2602743493
20	0.2538927726
21	0.2472177855
22	0.2416646618
23	0.2374804283
24	0.2331194315
25	0.2280593006
26	0.2238448324
27	0.2203577749
28	0.2171579139
29	0.2137332688
30	0.210242406
31	0.2071516961
32	0.2041251364
33	0.2017009675
34	0.1994869151
35	0.1970696349
36	0.1942618937
37	0.1915664807
38	0.1889597746
39	0.1867006264
40	0.1849814243
41	0.1834387185
42	0.1812607095
43	0.1793908136
44	0.1777665659
45	0.1761400331
46	0.1746016463
47	0.1732732781
48	0.1717698344
49	0.1706975582
50	0.1691598061
51	0.1679064667
52	0.1668581316
53	0.1656104585
54	0.1644848935
55	0.1629492212
56	0.1619664201
57	0.1610388521
58	0.1600094109
59	0.1589479097
60	0.158015678
61	0.1571079852
62	0.1563735474
63	0.1556483401
64	0.1548190296
65	0.1539620401
66	0.1531612791
67	0.1526019344
68	0.1519307832
69	0.1511423509
70	0.15051928
71	0.1499068384
72	0.1493901837
73	0.1487011256
74	0.1481056408
75	0.1475251047
76	0.14688016
77	0.1463272276
78	0.1457652585
79	0.1450743087
80	0.1444273656
81	0.1439445109
82	0.1433433891
83	0.1427444941
84	0.1423441244
85	0.1418676341
86	0.1412563147
87	0.1407796794
88	0.140300671
89	0.1396005803
90	0.139026471
91	0.1383529205
92	0.137955266
93	0.1375879513
94	0.1369551183
95	0.136443646
96	0.1360100928
97	0.1355889815
98	0.1351749019
99	0.1348065953
100	0.1343114887
101	0.1336628259
102	0.1333466137
103	0.1328950844
104	0.1322577803
105	0.1317784685
106	0.1313826915
107	0.1309833
108	0.130563104
109	0.1301251867
110	0.1296624032
111	0.1293300781
112	0.1287067816
113	0.1282043321
114	0.1278825053
115	0.1275851478
116	0.1271111571
117	0.1267656391
118	0.1264293571
119	0.1261810386
120	0.1258813518
121	0.1255551353
122	0.1251395098
123	0.124601962
124	0.1243205938
125	0.1239665236
126	0.1235963321
127	0.1232284387
128	0.1228482151
129	0.122342057
130	0.1219512694
131	0.1216349295
132	0.1213202664
133	0.1209204895
134	0.1205471245
135	0.1203369111
136	0.1200139935
137	0.1195234742
138	0.1192597892
139	0.1189651444
140	0.1187744832
141	0.1183982708
142	0.1182015011
143	0.1179359804
144	0.1176380065
145	0.1172384522
146	0.1169479339
147	0.1167212877
148	0.1164424506
