iter	Passed	Remaining
0	160	159891
1	166	82998
2	171	56993
3	175	43751
4	180	35850
5	184	30548
6	188	26761
7	192	23845
8	195	21546
9	199	19789
10	204	18402
11	209	17207
12	225	17130
13	230	16211
14	234	15427
15	239	14706
16	242	14029
17	246	13426
18	249	12865
19	252	12370
20	259	12113
21	263	11692
22	265	11299
23	269	10953
24	272	10637
25	276	10346
26	279	10054
27	282	9814
28	285	9560
29	288	9312
30	290	9081
31	293	8865
32	295	8662
33	298	8479
34	301	8299
35	303	8126
36	305	7960
37	308	7805
38	310	7656
39	313	7517
40	315	7389
41	318	7261
42	320	7138
43	323	7020
44	325	6913
45	328	6808
46	330	6706
47	333	6614
48	336	6523
49	338	6435
50	340	6345
51	343	6265
52	346	6189
53	349	6118
54	352	6049
55	354	5980
56	357	5910
57	359	5846
58	362	5782
59	365	5721
60	367	5662
61	370	5602
62	373	5550
63	375	5494
64	378	5440
65	380	5391
66	383	5340
67	386	5292
68	388	5247
69	391	5199
70	394	5158
71	397	5120
72	400	5083
73	402	5041
74	405	5004
75	408	4967
76	411	4932
77	414	4898
78	417	4865
79	420	4831
80	423	4799
81	426	4772
82	428	4738
83	431	4705
84	434	4673
85	436	4644
86	439	4614
87	442	4585
88	445	4556
89	447	4528
90	450	4501
91	453	4474
92	456	4450
93	459	4426
94	462	4404
95	464	4378
96	467	4355
97	470	4333
98	473	4311
99	476	4288
100	479	4266
101	482	4244
102	484	4221
103	487	4202
104	490	4184
105	494	4166
106	497	4149
107	500	4130
108	503	4113
109	506	4095
110	509	4078
111	512	4059
112	514	4039
113	517	4022
114	520	4006
115	523	3989
116	526	3970
117	529	3954
118	531	3938
119	534	3922
120	537	3905
121	540	3889
122	543	3873
123	546	3857
124	548	3840
125	551	3824
126	554	3810
127	557	3795
128	560	3781
129	563	3767
130	565	3753
131	568	3739
132	571	3725
133	574	3711
134	576	3696
135	579	3682
136	582	3669
137	585	3657
138	588	3644
139	591	3630
140	593	3617
141	596	3603
142	599	3590
143	602	3580
144	604	3567
145	607	3553
146	610	3541
147	613	3529
148	616	3519
149	619	3508
150	621	3496
151	624	3484
152	627	3472
153	630	3461
154	632	3450
155	635	3438
156	638	3428
157	641	3416
158	643	3406
159	646	3395
160	649	3385
161	652	3374
162	655	3363
163	658	3354
164	660	3344
165	663	3334
166	666	3325
167	669	3314
168	671	3303
169	674	3293
170	677	3283
171	680	3273
172	682	3264
173	685	3254
174	688	3246
175	691	3237
176	694	3227
177	696	3218
178	699	3208
179	702	3198
180	704	3188
181	707	3179
182	710	3170
183	712	3160
184	715	3150
185	718	3143
186	720	3134
187	723	3125
188	726	3117
189	729	3109
190	731	3099
191	734	3090
192	736	3081
193	739	3072
194	742	3063
195	744	3055
196	747	3047
197	750	3038
198	753	3031
199	755	3022
200	758	3015
201	761	3006
202	763	2998
203	766	2990
204	769	2983
205	772	2977
206	774	2965
207	776	2958
208	778	2945
209	781	2938
210	783	2930
211	786	2924
212	789	2916
213	792	2909
214	794	2901
215	797	2894
216	799	2886
217	802	2878
218	805	2872
